id,name,code
__export__.eagleedu_roomname_1_fa986d45,Rose,rose
__export__.eagleedu_roomname_1_fa986d45,Kudrat-E-Khuda,kudrat-e-khuda
__export__.eagleedu_roomname_40_a1c25b39,Ebne-Sina,ebne-sina
__export__.eagleedu_roomname_41_0d30c9eb,Al-Biruni,al-biruni
__export__.eagleedu_roomname_42_2daba8c1,Al-Jabir,al-jabir
__export__.eagleedu_roomname_43_1b3ff7bf,Al-Kemi,al-kemi
__export__.eagleedu_roomname_44_aa473a47,Al-Kanoon,al-kanoon
__export__.eagleedu_roomname_45_8dcd6b7a,Shapla,shapla
__export__.eagleedu_roomname_46_3486f848,Padma,padma
__export__.eagleedu_roomname_47_105cbcd3,Tulip,tulip
__export__.eagleedu_roomname_48_edf62e43,Golap,golap
__export__.eagleedu_roomname_49_c469fee9,Joba,joba
__export__.eagleedu_roomname_50_9bd8a44d,Dalia,dalia
__export__.eagleedu_roomname_51_33c7aa1c,Jinia,jinia
__export__.eagleedu_roomname_52_0fc83b68,Doel,doel
__export__.eagleedu_roomname_53_6fcaa0e1,Shama,shama
__export__.eagleedu_roomname_54_a18da76f,Haqs,haqs
__export__.eagleedu_roomname_55_a6ce6d54,Eagles,eagles
__export__.eagleedu_roomname_56_aa6914ae,Tiger,tiger
__export__.eagleedu_roomname_57_19d9ac78,Lion,lion
__export__.eagleedu_roomname_58_e034c402,Positron,positron
__export__.eagleedu_roomname_59_d4d1496c,Proton-Girls,proton-girls
__export__.eagleedu_roomname_60_71533447,Nutron,nutron
__export__.eagleedu_roomname_61_cad4d7ef,Zenon,zenon
__export__.eagleedu_roomname_62_99c89a80,Saai,saai
__export__.eagleedu_roomname_63_482bd78e,Sigma,sigma
__export__.eagleedu_roomname_64_61d854c3,Omega,omega
__export__.eagleedu_roomname_65_82810c19,Radon,radon
__export__.eagleedu_roomname_66_7601ff73,Alpha,alpha
__export__.eagleedu_roomname_67_eb84aa5c,Beta,beta
__export__.eagleedu_roomname_68_a84ebc43,Theta,theta
__export__.eagleedu_roomname_69_472a7a1f,Theta-1,theta-1
__export__.eagleedu_roomname_70_c3ed51e2,Delta,delta
__export__.eagleedu_roomname_71_a5cd9f3e,Neptune,neptune
__export__.eagleedu_roomname_72_62b00cab,Pluto,pluto
__export__.eagleedu_roomname_73_550b0606,Nova,nova
__export__.eagleedu_roomname_74_cd660e64,Jupitar,jupitar
__export__.eagleedu_roomname_75_2341eeee,,
