id,name,code
__export__.eagleedu_subject_1_e12b50df,Bangla,bang
__export__.eagleedu_subject_2_9041ec0d,English,eng
__export__.eagleedu_subject_3_b9eef94f,Mathmetics,math
__export__.eagleedu_subject_4_4eb3bf95,General Science,genscience
__export__.eagleedu_subject_5_00dbc381,ICT,ict
__export__.eagleedu_subject_6_69dd0ca1,Moral Education,meducation
__export__.eagleedu_subject_7_b0f479ad,Physics,physics
__export__.eagleedu_subject_8_ad995928,Chemesitry,chemistry
__export__.eagleedu_subject_9_5eabee1a,Biology,biology
__export__.eagleedu_subject_10_f310cd2a,Higher Math,highermath
__export__.eagleedu_subject_11_c5b94efe,Rel & Moral Edu,relmoraledu
__export__.eagleedu_subject_12_0a5ac2c6,Economics,economics
__export__.eagleedu_subject_13_547d2abd,HB & Global CP.,hbglobalcp
__export__.eagleedu_subject_14_734ee6c4,Geography,geography
__export__.eagleedu_subject_15_f15db260,Home Science,homescience
__export__.eagleedu_subject_16_6037796a,Career Education,careereducation
__export__.eagleedu_subject_17_611ecc8e,Physical Training,pt
__export__.eagleedu_subject_18_c49b6f76,BGI,bgi
